,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0,0,892.06753,892.06753,874.6704,874.6704,2014-01-07T18:18:31.0000000Z,2014-01-07T18:18:17.0000000Z,2014-01-07T18:19:00.0000000Z,2014-01-07T18:18:00.0000000Z,3,0.03191496
1,1,1,874.48165,883.23085,874.48165,883.23085,2014-01-07T18:21:19.0000000Z,2014-01-07T18:21:11.0000000Z,2014-01-07T18:22:00.0000000Z,2014-01-07T18:21:00.0000000Z,2,0.02154374
2,2,2,866.1094400000002,866.1094400000002,866.1094400000002,866.1094400000002,2014-01-07T19:07:59.0000000Z,2014-01-07T19:07:35.0000000Z,2014-01-07T19:08:00.0000000Z,2014-01-07T19:07:00.0000000Z,4,0.05362558
3,3,3,866.0994400000002,866.0994400000002,866.0994400000002,866.0994400000002,2014-01-07T19:12:59.0000000Z,2014-01-07T19:12:37.0000000Z,2014-01-07T19:13:00.0000000Z,2014-01-07T19:12:00.0000000Z,4,0.05364178
4,4,4,860.0,866.0994400000002,860.0,866.0994400000002,2014-01-07T19:13:36.0000000Z,2014-01-07T19:13:16.0000000Z,2014-01-07T19:14:00.0000000Z,2014-01-07T19:13:00.0000000Z,3,0.0671346
5,5,5,860.0,870.0,860.0,870.0,2014-01-07T19:16:59.0000000Z,2014-01-07T19:16:20.0000000Z,2014-01-07T19:17:00.0000000Z,2014-01-07T19:16:00.0000000Z,5,0.20292873
6,6,6,855.0,860.0,855.0,860.0,2014-01-07T19:17:48.0000000Z,2014-01-07T19:17:08.0000000Z,2014-01-07T19:18:00.0000000Z,2014-01-07T19:17:00.0000000Z,4,0.16090713
7,7,7,855.0,855.0,855.0,855.0,2014-01-07T19:18:55.0000000Z,2014-01-07T19:18:26.0000000Z,2014-01-07T19:19:00.0000000Z,2014-01-07T19:18:00.0000000Z,6,0.56352235
8,8,8,839.8271,855.0,830.00001,855.0,2014-01-07T19:19:52.0000000Z,2014-01-07T19:19:01.0000000Z,2014-01-07T19:20:00.0000000Z,2014-01-07T19:19:00.0000000Z,17,3.81620998
9,9,9,855.0,855.0,848.13807,848.13807,2014-01-07T19:20:17.0000000Z,2014-01-07T19:20:11.0000000Z,2014-01-07T19:21:00.0000000Z,2014-01-07T19:20:00.0000000Z,2,0.06085829
10,10,10,839.7565300000001,839.7565300000001,839.7565300000001,839.7565300000001,2014-01-07T19:24:52.0000000Z,2014-01-07T19:24:52.0000000Z,2014-01-07T19:25:00.0000000Z,2014-01-07T19:24:00.0000000Z,1,0.05
11,11,11,839.7565300000001,839.7565300000001,839.7565300000001,839.7565300000001,2014-01-07T19:25:58.0000000Z,2014-01-07T19:25:00.0000000Z,2014-01-07T19:26:00.0000000Z,2014-01-07T19:25:00.0000000Z,9,0.45
12,12,12,839.7565300000001,839.7565300000001,839.7565300000001,839.7565300000001,2014-01-07T19:26:59.0000000Z,2014-01-07T19:26:31.0000000Z,2014-01-07T19:27:00.0000000Z,2014-01-07T19:26:00.0000000Z,5,0.15560286
