,Unnamed: 0,Unnamed: 0.1,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,0,0,11.87,11.87,11.87,11.87,2016-10-17T14:02:50.4630000Z,2016-10-17T14:02:50.4630000Z,2016-10-17T14:03:00.0000000Z,2016-10-17T14:02:00.0000000Z,1,0.024058
1,1,1,11.87,11.87,11.87,11.87,2016-10-17T14:04:13.5750000Z,2016-10-17T14:04:13.5750000Z,2016-10-17T14:05:00.0000000Z,2016-10-17T14:04:00.0000000Z,1,0.021876
2,2,2,11.87,11.87,11.87,11.87,2016-10-17T14:07:05.8440000Z,2016-10-17T14:07:05.8440000Z,2016-10-17T14:08:00.0000000Z,2016-10-17T14:07:00.0000000Z,1,0.3449449
3,3,3,11.87,11.87,11.87,11.87,2016-10-17T14:16:23.5360000Z,2016-10-17T14:16:23.5360000Z,2016-10-17T14:17:00.0000000Z,2016-10-17T14:16:00.0000000Z,1,4.21229991
4,4,4,11.9,11.9,11.9,11.9,2016-10-17T14:25:54.9980000Z,2016-10-17T14:25:54.9980000Z,2016-10-17T14:26:00.0000000Z,2016-10-17T14:25:00.0000000Z,1,6.737783
5,5,5,11.9,11.9,11.9,11.9,2016-10-17T14:44:56.9960000Z,2016-10-17T14:44:13.1360000Z,2016-10-17T14:45:00.0000000Z,2016-10-17T14:44:00.0000000Z,2,4.3125
6,6,6,11.85983,11.9,11.85972,11.9,2016-10-17T14:45:45.2420000Z,2016-10-17T14:45:07.5790000Z,2016-10-17T14:46:00.0000000Z,2016-10-17T14:45:00.0000000Z,3,1.579
7,7,7,11.88,11.88,11.88,11.88,2016-10-17T14:47:31.3790000Z,2016-10-17T14:47:31.3790000Z,2016-10-17T14:48:00.0000000Z,2016-10-17T14:47:00.0000000Z,1,47.4871
8,8,8,11.88,11.88,11.88,11.88,2016-10-17T14:48:25.8540000Z,2016-10-17T14:48:25.8540000Z,2016-10-17T14:49:00.0000000Z,2016-10-17T14:48:00.0000000Z,1,3.38702739
9,9,9,11.88,11.88,11.88,11.88,2016-10-17T14:53:38.9350000Z,2016-10-17T14:53:38.9350000Z,2016-10-17T14:54:00.0000000Z,2016-10-17T14:53:00.0000000Z,1,47.4866
10,10,10,11.88,11.88,11.88,11.88,2016-10-17T14:54:42.6050000Z,2016-10-17T14:54:18.8870000Z,2016-10-17T14:55:00.0000000Z,2016-10-17T14:54:00.0000000Z,2,94.9681
11,11,11,11.88,11.88,11.88,11.88,2016-10-17T14:57:06.5570000Z,2016-10-17T14:57:06.5570000Z,2016-10-17T14:58:00.0000000Z,2016-10-17T14:57:00.0000000Z,1,0.54
12,12,12,11.88,11.88,11.88,11.88,2016-10-17T14:59:56.7400000Z,2016-10-17T14:59:47.0140000Z,2016-10-17T15:00:00.0000000Z,2016-10-17T14:59:00.0000000Z,5,69.82691363
13,13,13,11.88,11.88,11.88,11.88,2016-10-17T15:00:43.0220000Z,2016-10-17T15:00:43.0220000Z,2016-10-17T15:01:00.0000000Z,2016-10-17T15:00:00.0000000Z,1,8.95680578
14,14,14,11.88,11.88,11.88,11.88,2016-10-17T15:02:38.9480000Z,2016-10-17T15:02:38.9480000Z,2016-10-17T15:03:00.0000000Z,2016-10-17T15:02:00.0000000Z,1,0.069992
15,15,15,11.88,11.88,11.88,11.88,2016-10-17T15:03:18.8320000Z,2016-10-17T15:03:01.0160000Z,2016-10-17T15:04:00.0000000Z,2016-10-17T15:03:00.0000000Z,3,0.089462
16,16,16,11.88,11.88,11.88,11.88,2016-10-17T15:19:51.8820000Z,2016-10-17T15:19:25.9770000Z,2016-10-17T15:20:00.0000000Z,2016-10-17T15:19:00.0000000Z,5,181.12305186
17,17,17,11.88,11.88,11.88,11.88,2016-10-17T15:20:33.5390000Z,2016-10-17T15:20:02.7530000Z,2016-10-17T15:21:00.0000000Z,2016-10-17T15:20:00.0000000Z,4,96.06494734
18,18,18,11.9,11.9,11.9,11.9,2016-10-17T15:23:34.8380000Z,2016-10-17T15:23:26.7340000Z,2016-10-17T15:24:00.0000000Z,2016-10-17T15:23:00.0000000Z,2,1.964928
19,19,19,11.88,11.88,11.88,11.88,2016-10-17T15:24:50.2380000Z,2016-10-17T15:24:44.5890000Z,2016-10-17T15:25:00.0000000Z,2016-10-17T15:24:00.0000000Z,2,47.993
20,20,20,11.88,11.88,11.88,11.88,2016-10-17T15:25:10.8000000Z,2016-10-17T15:25:02.0390000Z,2016-10-17T15:26:00.0000000Z,2016-10-17T15:25:00.0000000Z,3,70.91697234
21,21,21,11.88,11.88,11.88,11.88,2016-10-17T15:28:14.0800000Z,2016-10-17T15:28:11.7210000Z,2016-10-17T15:29:00.0000000Z,2016-10-17T15:28:00.0000000Z,2,381.09002766
22,22,22,11.9,11.9,11.9,11.9,2016-10-17T15:29:50.9520000Z,2016-10-17T15:29:50.9520000Z,2016-10-17T15:30:00.0000000Z,2016-10-17T15:29:00.0000000Z,1,0.101749
23,23,23,11.89,11.89,11.89,11.89,2016-10-17T15:33:15.6590000Z,2016-10-17T15:33:15.6590000Z,2016-10-17T15:34:00.0000000Z,2016-10-17T15:33:00.0000000Z,1,2.3743
24,24,24,11.87752,11.87752,11.87752,11.87752,2016-10-17T15:34:39.8480000Z,2016-10-17T15:34:39.8480000Z,2016-10-17T15:35:00.0000000Z,2016-10-17T15:34:00.0000000Z,1,4.46735
25,25,25,11.8895,11.8895,11.8895,11.8895,2016-10-17T15:52:20.0750000Z,2016-10-17T15:52:20.0750000Z,2016-10-17T15:53:00.0000000Z,2016-10-17T15:52:00.0000000Z,1,0.030217
26,26,26,11.89478,11.89478,11.89,11.89,2016-10-17T16:06:48.8470000Z,2016-10-17T16:06:47.1680000Z,2016-10-17T16:07:00.0000000Z,2016-10-17T16:06:00.0000000Z,2,750.0
27,27,27,11.9,11.9,11.9,11.9,2016-10-17T16:09:16.7650000Z,2016-10-17T16:09:16.7650000Z,2016-10-17T16:10:00.0000000Z,2016-10-17T16:09:00.0000000Z,1,750.0
28,28,28,11.9,11.9,11.9,11.9,2016-10-17T16:11:50.8750000Z,2016-10-17T16:11:43.2640000Z,2016-10-17T16:12:00.0000000Z,2016-10-17T16:11:00.0000000Z,2,2.72265115
29,29,29,11.9063,11.9063,11.9,11.9,2016-10-17T16:12:47.0850000Z,2016-10-17T16:12:07.9460000Z,2016-10-17T16:13:00.0000000Z,2016-10-17T16:12:00.0000000Z,4,62.53320066
30,30,30,11.95469,11.95469,11.95469,11.95469,2016-10-17T16:29:49.1570000Z,2016-10-17T16:29:49.1570000Z,2016-10-17T16:30:00.0000000Z,2016-10-17T16:29:00.0000000Z,1,42.6677696
31,31,31,11.95898,11.95899,11.95898,11.95899,2016-10-17T16:47:50.7800000Z,2016-10-17T16:47:20.5970000Z,2016-10-17T16:48:00.0000000Z,2016-10-17T16:47:00.0000000Z,2,220.17452593
32,32,32,11.95895,11.95896,11.95895,11.95896,2016-10-17T16:48:39.8950000Z,2016-10-17T16:48:09.5290000Z,2016-10-17T16:49:00.0000000Z,2016-10-17T16:48:00.0000000Z,4,339.474592
33,33,33,11.96,11.96,11.96,11.96,2016-10-17T16:49:51.2350000Z,2016-10-17T16:49:40.6320000Z,2016-10-17T16:50:00.0000000Z,2016-10-17T16:49:00.0000000Z,3,252.882121
34,34,34,11.96,11.96,11.96,11.96,2016-10-17T16:51:56.7660000Z,2016-10-17T16:51:30.4930000Z,2016-10-17T16:52:00.0000000Z,2016-10-17T16:51:00.0000000Z,5,229.299592
35,35,35,11.96,11.96,11.96,11.96,2016-10-17T16:52:20.8040000Z,2016-10-17T16:52:14.2400000Z,2016-10-17T16:53:00.0000000Z,2016-10-17T16:52:00.0000000Z,4,251.14913786
36,36,36,12.0,12.0,12.0,12.0,2016-10-17T16:56:20.2600000Z,2016-10-17T16:56:20.2600000Z,2016-10-17T16:57:00.0000000Z,2016-10-17T16:56:00.0000000Z,1,0.52
37,37,37,12.0,12.0,12.0,12.0,2016-10-17T16:57:32.6600000Z,2016-10-17T16:57:32.6600000Z,2016-10-17T16:58:00.0000000Z,2016-10-17T16:57:00.0000000Z,1,0.229162
38,38,38,12.0,12.0,12.0,12.0,2016-10-17T16:58:14.5850000Z,2016-10-17T16:58:14.5850000Z,2016-10-17T16:59:00.0000000Z,2016-10-17T16:58:00.0000000Z,1,0.021857
39,39,39,11.9909,11.9909,11.9909,11.9909,2016-10-17T17:15:46.1290000Z,2016-10-17T17:15:46.1290000Z,2016-10-17T17:16:00.0000000Z,2016-10-17T17:15:00.0000000Z,1,0.050808
40,40,40,11.97,11.97,11.97,11.97,2016-10-17T17:24:52.3910000Z,2016-10-17T17:24:52.3910000Z,2016-10-17T17:25:00.0000000Z,2016-10-17T17:24:00.0000000Z,1,2.376792
41,41,41,11.97,11.97,11.97,11.97,2016-10-17T17:26:47.9090000Z,2016-10-17T17:26:18.6950000Z,2016-10-17T17:27:00.0000000Z,2016-10-17T17:26:00.0000000Z,2,0.520123
42,42,42,11.97,11.97,11.97,11.97,2016-10-17T17:28:52.9000000Z,2016-10-17T17:28:52.9000000Z,2016-10-17T17:29:00.0000000Z,2016-10-17T17:28:00.0000000Z,1,162.33751
43,43,43,11.97,11.97,11.97,11.97,2016-10-17T17:29:47.3860000Z,2016-10-17T17:29:06.5640000Z,2016-10-17T17:30:00.0000000Z,2016-10-17T17:29:00.0000000Z,2,0.860239
44,44,44,11.97,11.97,11.97,11.97,2016-10-17T17:30:59.9210000Z,2016-10-17T17:30:59.9210000Z,2016-10-17T17:31:00.0000000Z,2016-10-17T17:30:00.0000000Z,1,42.12138579
45,45,45,11.97,11.97,11.97,11.97,2016-10-17T17:34:37.8270000Z,2016-10-17T17:34:37.8270000Z,2016-10-17T17:35:00.0000000Z,2016-10-17T17:34:00.0000000Z,1,0.735073
46,46,46,11.97,11.97,11.97,11.97,2016-10-17T17:40:32.2770000Z,2016-10-17T17:40:32.2770000Z,2016-10-17T17:41:00.0000000Z,2016-10-17T17:40:00.0000000Z,1,0.1963964
47,47,47,11.97,11.97,11.97,11.97,2016-10-17T17:41:27.0620000Z,2016-10-17T17:41:23.4760000Z,2016-10-17T17:42:00.0000000Z,2016-10-17T17:41:00.0000000Z,2,51.394241
48,48,48,11.97,11.97,11.97,11.97,2016-10-17T17:42:13.8730000Z,2016-10-17T17:42:13.8730000Z,2016-10-17T17:43:00.0000000Z,2016-10-17T17:42:00.0000000Z,1,1.339
49,49,49,11.97,11.97,11.97,11.97,2016-10-17T17:44:22.3580000Z,2016-10-17T17:44:22.3580000Z,2016-10-17T17:45:00.0000000Z,2016-10-17T17:44:00.0000000Z,1,6.7161
